default,WC/TA,RE/TA,EBIT/TA,ME/TL,S/TA
0,0.501,0.307,0.043,0.956,0.335
0,0.55,0.32,0.05,1.06,0.33
0,0.45,0.23,0.03,0.8,0.25
0,0.31,0.19,0.03,0.39,0.25
0,0.45,0.22,0.03,0.79,0.28
0,0.46,0.22,0.03,1.29,0.32
0,0.01,-0.03,0.01,0.11,0.25
0,-0.11,-0.12,0.03,0.15,0.32
0,0.06,-0.11,0.04,0.41,0.29
0,0.05,-0.09,0.05,0.25,0.34
0,0.12,-0.11,0.04,0.46,0.31
0,-0.04,0.27,0.05,0.59,0.21
0,-0.04,0.25,0.03,0.33,0.21
0,0,0.15,0,0.16,0.16
0,-0.05,0.02,0.01,0.07,0.16
0,-0.03,-0.01,0.02,0.1,0.18
0,-0.03,-0.04,0.02,0.09,0.19
0,0.02,0.05,0.05,0.55,0.07
0,0.02,0.08,0.03,0.6,0.09
0,0.03,0.11,0.04,0.79,0.1
0,0,0.12,0.04,0.82,0.09
0,0.04,0.14,0.02,0.63,0.12
0,-0.05,0.15,0.04,0.89,0.15
0,-0.01,0.14,0.04,0.68,0.11
0,0,0.15,0.03,0.58,0.09
0,0.01,0.15,0.04,0.58,0.11
0,-0.01,0.16,0.05,0.62,0.11
0,0.15,0.42,0.1,7.96,0.27
0,0.23,0.47,0.09,11.17,0.27
0,0.05,0.32,0.08,6.12,0.21
0,0.12,0.36,0.07,4.63,0.22
0,0.14,0.41,0.08,5.38,0.22
0,0.16,0.43,0.07,5.06,0.22
0,0.08,0.1,0.02,0.75,0.14
0,0.03,0.04,0.03,0.81,0.14
0,0.03,-0.01,0.06,0.77,0.18
0,0.04,0,0.04,0.64,0.13
0,0.04,0,0.03,0.71,0.15
0,0.02,-0.03,0.03,0.65,0.18
0,0.01,-0.05,0.04,0.55,0.2
0,0.09,-0.05,0.05,1.13,0.19
0,0.07,-0.01,0.07,0.88,0.18
0,0.05,0.24,0.03,0.46,0.14
0,-0.38,0.33,0.02,1.22,0.11
0,0.14,0.23,0.05,1.8,0.25
0,0.28,0.34,0.06,1.7,0.24
0,0.21,0.32,0.02,2.61,0.2
0,0.15,0.15,-0.02,0.74,0.14
0,0.23,0.1,0.05,1.14,0.21
0,0.21,0.13,0.04,1.7,0.19
0,-0.17,0.07,0.07,1.57,0.16
0,0.03,-0.07,0.04,3.37,0.09
0,0.01,-0.04,0.04,3.13,0.12
0,0.28,0.18,0.04,0.17,0.17
0,0.31,0.09,0.04,0.22,0.15
0,0.33,0.13,0.03,0.33,0.14
0,0.34,0.16,0.04,0.59,0.16
0,0.39,0.09,0.05,3.02,0.08
0,0.33,0.12,0.02,3.56,0.07
0,0.35,-0.24,-0.36,1.72,0.04
0,0.36,0.05,0.02,1.71,0.06
0,0.11,-0.01,0.01,2.63,0.05
0,0.09,-0.04,0.06,1.47,0.11
0,0.14,-0.08,0.02,3.61,0.09
0,0.19,0.22,0.06,1.29,0.71
0,0.02,0.45,0.06,1.29,0.18
0,0.09,0.42,0.06,1.54,0.2
0,0.07,0.45,0.06,1.79,0.2
0,0.11,0.47,0.05,1.92,0.19
0,0.09,0.46,0.04,1.83,0.19
0,0.09,0.46,0.05,2.24,0.23
0,0.16,0.32,0.06,0.73,0.51
0,0.02,0.24,0.04,0.77,0.27
0,0.07,0.19,0.01,0.49,0.23
0,0.09,0.16,-0.01,0.4,0.19
0,0.11,0.09,0.02,0.29,0.21
0,0.06,0.11,0.03,0.31,0.22
0,0.11,0.09,0.02,0.37,0.24
0,0.06,0.12,0.06,1.68,0.15
0,0.05,0.13,0.09,1.46,0.2
0,0.03,0.18,0.05,1.11,0.12
0,0.29,0.51,0.07,1.98,0.47
0,0.31,0.49,0.06,2.05,0.47
0,0.36,0.51,0.07,2.68,0.45
0,0.32,0.51,0.08,3.22,0.43
0,0.38,0.54,0.06,3.89,0.41
0,0.31,0.58,0.07,5.31,0.45
0,0.07,0.35,0.07,1.32,0.67
