default,SIZE,TLTA,WCTA,CLCA,NITA,BETL,EBITTA,SALESTA
0,7.9142,0.4562882,0.4232606,0.4153809,0.0166739,1.191597,0.0527916,0.514586
0,7.747543,0.3621432,0.4711859,0.3513398,0.0318796,1.761339,0.0684198,0.6181961
0,7.66048,0.3064705,0.4734109,0.331855,0.0422577,2.262957,0.0848413,0.6539781
0,7.597641,0.2639998,0.4938598,0.2899917,0.0299624,2.787882,0.0552106,0.6201717
0,7.593163,0.2412736,0.5012619,0.2683238,0.0374095,3.144673,0.0738272,0.6951693
0,7.550623,0.1865282,0.5381256,0.1829142,0.0402451,4.361119,0.0821635,0.8027061
0,7.606343,0.1953639,0.5052342,0.2177593,0.0390148,4.118654,0.0685524,0.7195116
0,7.798826,0.2735985,0.2635847,0.480931,0.0835807,2.654991,0.1304327,0.6809196
1,8.215338,0.8808091,-0.1565743,1.379224,-0.0005073,0.1353198,0.0731876,0.7156972
0,8.659735,0.2619721,-0.0383961,1.26689,-0.000579,2.817201,0.00495,0.3301664
0,8.607417,0.2527443,-0.0722516,1.467325,0.0066634,2.956567,0.0128273,0.3611922
0,8.558625,0.2514455,-0.0582448,1.362815,0.0003612,2.977005,-0.0025157,0.3582198
0,8.533768,0.2434735,-0.0384242,1.259086,-0.018582,3.107223,-0.0136411,0.3420766
0,8.68647,0.3586678,-0.0930833,1.44415,0.0013033,1.788095,0.0057897,0.2765916
0,8.545432,0.1862565,0.0210782,0.8576368,-0.0410357,4.36894,-0.0045426,0.2955431
0,8.685905,0.3313401,-0.0685146,1.496748,0.0968622,2.018047,-0.0210665,0.2437274
0,9.186768,0.3182407,-0.0549443,1.299901,0.0368249,2.142276,0.0341513,0.4260378
0,9.208423,0.2977946,0.0149704,0.9302801,0.0384,2.35802,0.0406948,0.793178
0,9.252165,0.2720418,-0.0166221,1.086086,0.0508421,2.675905,0.0485408,0.8537009
0,9.327794,0.3020908,0.0148863,0.933138,0.0550684,2.310263,0.0381422,0.8744143
0,9.337259,0.3237795,0.0300136,0.8770631,0.02008,2.088521,0.0388873,1.00249
0,9.31609,0.3871589,0.0113938,0.9671533,0.0052989,1.582919,0.046189,0.9767907
0,8.752663,0.3184597,0.2569943,0.4169949,0.0682999,2.140115,0.0714281,0.4368277
0,8.823543,0.3242505,0.2627083,0.4210953,0.0694913,2.084035,0.0681784,0.4334368
0,8.875094,0.3036996,0.2324031,0.4233657,0.0747849,2.292727,0.0642755,0.4308624
0,9.069943,0.3356481,0.1983277,0.5219931,0.0602461,1.979311,0.05571,0.3917141
0,9.097585,0.2829759,0.1469326,0.5698723,0.070544,2.533869,0.0690746,0.4383341
